Mon Jul 07 2025 02:43:34 GMT+0000 (Greenwich Mean Time) | ERROR | ENOENT: no such file or directory, scandir '/home/guy-serge/projects/backend/nodejs/Framework/opticore-framework/template/api-rest-full-template/opticore-template-mysqldb/node_modules/opticore-mysqldb/dist/utils/translations'
Mon Jul 07 2025 02:43:34 GMT+0000 (Greenwich Mean Time) | ERROR | ENOENT: no such file or directory, scandir '/home/guy-serge/projects/backend/nodejs/Framework/opticore-framework/template/api-rest-full-template/opticore-template-mysqldb/node_modules/opticore-mysqldb/dist/utils/translations'
Mon Jul 07 2025 02:43:34 GMT+0000 (Greenwich Mean Time) | ERROR | ENOENT: no such file or directory, scandir '/home/guy-serge/projects/backend/nodejs/Framework/opticore-framework/template/api-rest-full-template/opticore-template-mysqldb/node_modules/opticore-mysqldb/dist/utils/translations'
Mon Jul 07 2025 02:43:34 GMT+0000 (Greenwich Mean Time) | ERROR | ENOENT: no such file or directory, scandir '/home/guy-serge/projects/backend/nodejs/Framework/opticore-framework/template/api-rest-full-template/opticore-template-mysqldb/node_modules/opticore-mysqldb/dist/utils/translations'
Mon Jul 07 2025 02:43:34 GMT+0000 (Greenwich Mean Time) | ERROR | mySQLCreatingConnOccurAnError
Mon Jul 07 2025 02:44:38 GMT+0000 (Greenwich Mean Time) | ERROR | ENOENT: no such file or directory, scandir '/home/guy-serge/projects/backend/nodejs/Framework/opticore-framework/template/api-rest-full-template/opticore-template-mysqldb/node_modules/opticore-mysqldb/dist/utils/translations'
Mon Jul 07 2025 02:44:38 GMT+0000 (Greenwich Mean Time) | ERROR | ENOENT: no such file or directory, scandir '/home/guy-serge/projects/backend/nodejs/Framework/opticore-framework/template/api-rest-full-template/opticore-template-mysqldb/node_modules/opticore-mysqldb/dist/utils/translations'
Mon Jul 07 2025 02:44:38 GMT+0000 (Greenwich Mean Time) | ERROR | ENOENT: no such file or directory, scandir '/home/guy-serge/projects/backend/nodejs/Framework/opticore-framework/template/api-rest-full-template/opticore-template-mysqldb/node_modules/opticore-mysqldb/dist/utils/translations'
Mon Jul 07 2025 02:44:38 GMT+0000 (Greenwich Mean Time) | ERROR | ENOENT: no such file or directory, scandir '/home/guy-serge/projects/backend/nodejs/Framework/opticore-framework/template/api-rest-full-template/opticore-template-mysqldb/node_modules/opticore-mysqldb/dist/utils/translations'
Mon Jul 07 2025 02:44:38 GMT+0000 (Greenwich Mean Time) | ERROR | mySQLCreatingConnOccurAnError
Mon Jul 07 2025 02:52:37 GMT+0000 (Greenwich Mean Time) | ERROR | ENOENT: no such file or directory, scandir '/home/guy-serge/projects/backend/nodejs/Framework/opticore-framework/template/api-rest-full-template/opticore-template-mysqldb/node_modules/opticore-mysqldb/dist/utils/translations'
Mon Jul 07 2025 02:52:37 GMT+0000 (Greenwich Mean Time) | ERROR | ENOENT: no such file or directory, scandir '/home/guy-serge/projects/backend/nodejs/Framework/opticore-framework/template/api-rest-full-template/opticore-template-mysqldb/node_modules/opticore-mysqldb/dist/utils/translations'
Mon Jul 07 2025 02:52:37 GMT+0000 (Greenwich Mean Time) | ERROR | ENOENT: no such file or directory, scandir '/home/guy-serge/projects/backend/nodejs/Framework/opticore-framework/template/api-rest-full-template/opticore-template-mysqldb/node_modules/opticore-mysqldb/dist/utils/translations'
Mon Jul 07 2025 02:52:37 GMT+0000 (Greenwich Mean Time) | ERROR | ENOENT: no such file or directory, scandir '/home/guy-serge/projects/backend/nodejs/Framework/opticore-framework/template/api-rest-full-template/opticore-template-mysqldb/node_modules/opticore-mysqldb/dist/utils/translations'
Mon Jul 07 2025 02:52:37 GMT+0000 (Greenwich Mean Time) | ERROR | mySQLCreatingConnOccurAnError
Mon Jul 07 2025 02:55:34 GMT+0000 (Greenwich Mean Time) | ERROR | There were problems creating a connection to the MySQL server
Mon Jul 07 2025 02:55:57 GMT+0000 (Greenwich Mean Time) | ERROR | There were problems creating a connection to the MySQL server
